"시설명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자
"강북구청",서울특별시,강북구,11305,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,37.63918553,127.0254518,1층 서비스코너,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"국립재활원",서울특별시,강북구,11305,서울특별시 강북구 삼각산로 58,서울특별시 강북구 수유동 521-6,37.63865444,127.0102649,1층 행정동 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"오동근린공원",서울특별시,강북구,11305,서울특별시 강북구 오현로31길 51,서울특별시 강북구 번동 318,37.63045708,127.0377699,강북구민운동장 뒤 쉼터 내(데크),00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"오동근린공원",서울특별시,강북구,11305,서울특별시 강북구 덕릉로42길 49,서울특별시 강북구 번동 산17-11,37.633061,127.0322063,실내배드민턴장 뒤편,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"강북장애인종합복지관",서울특별시,강북구,11305,서울특별시 강북구 오현로 189,서울특별시 강북구 번동 306-2,37.6287592,127.0390695,주차장,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"강북장애인종합복지관",서울특별시,강북구,11305,서울특별시 강북구 오현로 189,서울특별시 강북구 번동 306-2,37.6287592,127.0390695,주차장,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"강북구 보건소",서울특별시,강북구,11305,서울특별시 강북구 한천로 897,서울특별시 강북구 번동 232,37.63188022,127.0390621,보건소 입구,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"번동2단지종합사회복지관",서울특별시,강북구,11305,"서울특별시 강북구 한천로105길 24, 202동",서울특별시 강북구 번동 241,37.62760841,127.0448051,복지관 1층 출입구,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"번동3단지종합사회복지관",서울특별시,강북구,11305,서울특별시 강북구 오현로 208,서울특별시 강북구 번동 237,37.6296739,127.0411454,복지관 1층 복도,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"번동5단지종합사회복지관",서울특별시,강북구,11305,서울특별시 강북구 한천로115길 20,서울특별시 강북구 번동 230,37.63368721,127.0345359,1층 후문 주민사랑방 앞,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"강북구장애인단체총연합회",서울특별시,강북구,11305,서울특별시 강북구 인수봉로 291,서울특별시 강북구 수유동 545-3,37.64479193,127.0105151,장애인회관 주차장,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"삼양동종합복지센터",서울특별시,강북구,11305,서울특별시 강북구 삼양로 47길 9,서울특별시 강북구 미아동 749-25,37.62293303,127.018544,1층 로비 사무실 앞,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"시립 강북노인종합복지관",서울특별시,강북구,11305,서울특별시 강북구 삼양로 92길 40,서울특별시 강북구 수유동 122,37.63568736,127.018719,1층 여성안심택배 보관함 근처,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"미아동복합청사",서울특별시,강북구,11305,서울특별시 강북구 솔매로49길 14,서울특별시 강북구 미아동 197-1,37.62709036,127.026989,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강북구청,02-901-6677,2021-05-26
"수유역",서울특별시,강북구,11305,서울특별시 강북구 도봉로338,서울특별시 강북구 수유동 수유동 140,,,8번출구 나가기전 상가옆 벽면,06:00,23:00,06:00,23:00,06:00,23:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"미아사거리역",서울특별시,강북구,11305,서울시 강북구 도봉로 50,서울특별시 강북구 미아동 66-1,37.61387407,127.0301002,1번출구와 6번출구 사이,06:00,23:00,06:00,23:00,06:00,23:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"강북경찰서",서울특별시,강북구,11305,서울특별시 강북구 오패산로 406,서울특별시 강북구 번동 415-15,37.63717057,127.0270418,경찰서 정문 왼쪽 신한은행ATM 옆,00:00,00:00,00:00,00:00,00:00,00:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"수유제1동 주민센터",서울특별시,강북구,11305,서울특별시 강북구 삼양로 299,서울특별시 강북구 수유동 605-412,37.63005097,127.017543,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"강북문화예술회관",서울특별시,강북구,11305,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,1층 입구,06:00,22:00,00:00,00:00,00:00,00:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"북서울꿈의숲(아트센터)",서울특별시,강북구,11305,서울특별시 강북구 월계로 173,서울특별시 강북구 번동 90,37.62025563,127.0443254,지하1층 로비,10:00,17:00,00:00,00:00,00:00,00:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"가오리역",서울특별시,강북구,11305,서울특별시 강북구 수유동 338-47,서울특별시 강북구 수유동 338-47,37.642384,127.016776,B1층 상선 승강장 엘리베이터 3호기 앞,06:00,23:00,06:00,23:00,06:00,23:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
"솔밭근린공원",서울특별시,강북구,11305,서울시 강북구 삼양로 561,서울특별시 강북구 우이동 80,37.65301233,127.0122523,관리소 안심택배함 옆,00:00,00:00,00:00,00:00,00:00,00:00,2,Y,Y,강북구청,02-901-6677,2021-05-26
